id,ra_deg,dec_deg,u,v,mag,electrons_deposited
114132,347.02781318,3.32836789,595.105,168.727,10.900,0.218258
114156,347.09554846,7.26699368,593.619,83.766,8.330,2.327930
114159,347.10854630,0.49953527,593.334,229.318,7.420,5.382326
114165,347.14504537,4.67800685,592.533,139.763,7.630,4.435780
114172,347.17017174,2.12761798,591.982,194.496,5.420,33.960182
114187,347.21014248,5.33756260,591.106,125.584,8.460,2.065238
114194,347.21848141,6.56121108,590.923,99.149,10.900,0.218258
114207,347.25316053,7.93141219,590.163,69.412,8.970,1.291130
114209,347.25636980,5.34183675,590.093,125.512,8.590,1.832188
114212,347.26631187,2.55054058,589.875,185.461,9.260,0.988485
114214,347.26731931,2.45264573,589.853,187.557,7.620,4.476824
114221,347.29316016,2.26050792,589.287,191.675,8.590,1.832188
114222,347.29787940,7.31390686,589.184,82.872,7.890,3.491162
114224,347.31305652,3.93858857,588.851,155.718,9.560,0.749842
114234,347.34381075,2.14435199,588.178,194.169,7.110,7.160939
114253,347.39590404,1.92632065,587.038,198.841,8.150,2.747704
114254,347.40309385,3.96229261,586.880,155.239,8.470,2.046303
114256,347.41209698,3.78847222,586.683,158.971,9.150,1.093881
114269,347.45400676,7.09011846,585.766,87.823,8.610,1.798747
114297,347.52803891,7.36251630,584.147,81.958,7.390,5.533119
114323,347.60263944,7.81166478,582.517,72.248,7.330,5.847497
114328,347.61355071,3.49086829,582.278,165.411,8.260,2.482962
114339,347.65513195,7.76696661,581.370,73.253,12.090,0.072941
114344,347.66506587,5.96027730,581.153,112.369,6.960,8.221859
114357,347.71101443,0.41038994,580.149,231.245,9.010,1.244429
114369,347.74052095,6.03092365,579.505,110.882,10.440,0.333403
114387,347.80572466,3.15302451,578.082,172.694,7.920,3.396018
114388,347.80863417,5.00432800,578.019,133.012,6.660,10.838521
114392,347.82150395,5.09876397,577.738,130.988,8.840,1.455359
114409,347.90490183,3.10065413,575.919,173.839,8.200,2.624037
114412,347.91479807,4.25848245,575.704,149.058,9.930,0.533298
114416,347.92291416,1.13456234,575.527,215.813,9.500,0.792447
114419,347.93414513,8.72012785,575.282,52.686,5.150,43.548179
114420,347.93920263,0.22346834,575.172,235.237,8.600,1.815390
114424,347.95295324,4.72078331,574.872,139.157,9.080,1.166729
114431,347.97860814,9.02199845,574.313,46.127,8.580,1.849141
114447,348.04679126,6.60554057,572.828,98.638,8.310,2.371210
114450,348.05393051,2.04688820,572.672,196.372,9.040,1.210515
114452,348.05449526,3.93711281,572.660,155.987,8.580,1.849141
114457,348.07926009,2.00961094,572.121,197.171,8.660,1.717790
114460,348.09059662,9.02937106,571.874,46.046,8.080,2.930691
114466,348.11642423,8.27996681,571.312,62.397,9.130,1.114218
114472,348.15073378,3.61813347,570.565,162.840,8.130,2.798788
114475,348.16064492,2.68657905,570.349,182.743,7.710,4.120691
