id,ra_deg,dec_deg,u,v,mag,electrons_deposited
22985,359.99996320,-0.00001830,555.499,357.133,7.960,3.273181
22989,0.00001570,-0.00002293,219.512,386.724,10.650,0.274770
22992,0.00000000,0.00000000,320.000,240.000,9.480,0.807179
22998,359.99996995,0.00000732,512.345,193.147,7.170,6.775947
23024,359.99999403,-0.00003641,358.222,473.033,7.890,3.491162
23026,0.00002601,-0.00001281,153.548,321.993,8.340,2.306588
23031,0.00001416,-0.00001060,229.376,307.814,9.470,0.814648
23037,0.00002379,0.00003381,167.727,23.612,6.760,9.884848
23062,0.00000751,-0.00001532,271.914,338.022,8.850,1.442016
23073,0.00000491,0.00001156,288.559,166.021,8.620,1.782256
23074,0.00001031,0.00000578,254.036,203.011,8.810,1.496132
23089,359.99996224,-0.00001272,561.664,321.377,9.420,0.853041
23101,359.99995733,0.00002967,593.105,50.121,9.830,0.584750
23104,359.99997794,-0.00000800,461.176,291.169,9.210,1.035071
23106,359.99996147,-0.00002456,566.596,397.205,8.060,2.985176
23120,0.00003188,-0.00001137,115.942,312.746,8.690,1.670975
23149,0.00003632,-0.00002524,87.584,401.520,9.520,0.777983
23160,0.00003497,0.00003603,96.214,9.433,8.230,2.552525
23177,0.00000241,0.00001108,304.588,169.104,9.980,0.509296
23184,0.00002119,-0.00000674,184.372,283.154,9.420,0.853041
23186,0.00000385,-0.00003246,295.340,447.757,7.420,5.382326
23192,0.00002890,-0.00002707,135.053,413.233,7.230,6.411653
23194,0.00002283,0.00001686,173.892,132.114,8.920,1.351979
23197,0.00000356,0.00001175,297.190,164.788,8.280,2.437642
23210,0.00001541,0.00001021,221.362,174.652,10.340,0.365570
23219,359.99998035,0.00000588,445.764,202.394,9.380,0.885054
23223,0.00001618,0.00002533,216.430,77.863,8.500,1.990536
23240,0.00000260,-0.00001647,303.355,345.420,8.020,3.097205
23247,359.99999509,-0.00003304,351.441,451.456,8.690,1.670975
23254,359.99995935,0.00000954,580.158,178.968,9.890,0.553312
23260,359.99997987,0.00001734,448.846,129.032,8.680,1.686437
23267,0.00002784,0.00002370,141.835,88.344,9.150,1.093881
23268,0.00000742,-0.00002630,272.530,408.302,6.460,13.030768
23273,0.00002610,-0.00002793,152.931,418.782,8.920,1.351979
23275,0.00000539,0.00000135,285.477,231.369,9.080,1.166729
23281,0.00000414,-0.00002928,293.491,427.413,7.920,3.396018
23284,359.99995839,-0.00003092,586.323,437.893,9.020,1.233020
23289,0.00001223,0.00003439,241.706,19.913,10.260,0.393523
23295,359.99999682,-0.00003477,340.344,462.553,8.100,2.877200
23299,0.00000000,0.00000000,320.000,240.000,9.710,0.653085
23313,0.00000337,-0.00000347,298.423,262.194,9.510,0.785181
23320,359.99995039,-0.00000578,637.492,276.989,9.180,1.045772
23321,359.99998391,0.00000241,422.954,224.588,7.750,3.971641
23323,0.00003439,-0.00002986,99.913,431.112,9.100,1.145434
23327,359.99998006,-0.00001079,447.613,309.047,8.930,1.339584
23343,0.00000385,-0.00003246,295.340,447.757,10.430,0.336488
23346,359.99998228,0.00001801,433.434,124.717,9.250,0.997631
23353,0.00001194,-0.00002504,243.555,400.287,7.410,5.432128
23359,0.00002842,-0.00003526,138.136,465.635,7.860,3.588971
23360,0.00000328,-0.00003131,299.039,440.359,7.510,4.954160
23375,359.99997659,-0.00002553,469.807,403.370,8.480,2.027543
23389,359.99995405,-0.00002244,614.065,383.642,8.960,1.303077
23392,359.99997929,0.00002880,452.545,55.670,7.710,4.120691
23401,359.99999316,0.00001917,363.771,117.319,9.620,0.709529
23407,359.99999769,-0.00002822,334.796,420.631,9.100,1.145434
23415,359.99997101,0.00000944,505.563,179.584,8.230,2.552525
